county,households,Electricity,Paraffin,lpg,biogas,firewood,Charcoal,Solar,not_stated
TANA DELTA,"22,395",0.3,0.5,1.4,0.3,78.2,18.7,0.7,0.0
TANA NORTH,"26,119",1.2,1.2,2.4,0.4,55.3,39.1,0.4,0.0
TANA RIVER,"18,470",1.1,0.8,3.8,0.2,57.4,36.4,0.3,0.1
LAMU,"34,231",0.7,1.6,9.0,0.5,60.6,27.3,0.3,0.0
LAMU EAST,"4,476",2.0,0.7,3.2,0.2,75.9,17.7,0.2,-
LAMU WEST,"29,755",0.6,1.7,9.8,0.5,58.3,28.8,0.3,0.0
TAITA/TAVETA,"94,468",0.4,6.8,14.2,0.4,55.4,22.7,0.1,0.0
MWATATE,"23,184",0.3,5.1,8.2,0.4,67.1,18.8,0.0,0.0
TAITA,"14,985",0.6,2.1,7.5,0.9,77.4,11.3,0.1,0.0
TAVETA,"23,417",0.3,6.0,12.0,0.3,56.3,25.0,0.0,0.0
VOI,"32,882",0.3,10.7,23.0,0.2,36.4,29.1,0.1,0.0
GARISSA,"138,940",4.7,0.7,1.5,0.7,71.7,19.4,1.3,0.0
BALAMBALA,"3,986",4.5,1.2,1.5,3.7,76.7,10.2,2.2,-
DADAAB,"35,169",2.8,0.3,0.8,1.0,88.5,5.1,1.4,0.0
FAFI,"23,351",3.1,0.8,0.4,0.5,85.6,7.1,2.4,0.0
GARISSA,"29,790",12.5,0.6,5.1,0.6,23.5,57.5,0.2,0.1
HULUGHO,"20,078",0.5,0.2,0.0,0.3,97.4,1.4,0.1,0.0
IJARA,"18,296",3.8,1.9,0.4,0.7,61.7,29.2,2.3,0.0
LAGDERA,"8,270",0.7,0.1,0.1,0.3,92.7,3.8,2.2,-
WAJIR,"126,878",2.7,0.3,0.7,0.6,89.5,5.3,0.8,0.0
BUNA,"6,480",0.2,0.0,0.1,0.3,96.0,2.1,1.4,-
ELDAS,"13,862",3.1,0.4,0.7,1.3,90.6,2.6,1.4,-
HABASWEIN,"31,113",2.4,0.2,0.3,0.5,91.8,4.2,0.6,0.0
TARBAJ,"9,241",0.5,0.3,0.1,0.4,95.6,2.7,0.4,-
WAJIR EAST,"18,282",7.7,0.9,3.0,1.0,68.3,18.5,0.6,0.0
WAJIR NORTH,"10,478",3.4,0.4,0.7,0.7,91.5,3.0,0.4,-
WAJIR SOUTH,"21,149",0.3,0.2,0.2,0.2,95.7,2.5,0.9,0.0
WAJIR WEST,"16,273",2.0,0.1,0.4,0.5,92.8,2.9,1.2,-
MANDERA,"123,954",1.9,0.3,0.4,0.4,86.0,10.4,0.5,0.0
MANDERA WEST,"14,201",1.8,1.3,0.4,0.8,92.5,2.5,0.7,0.0
BANISA,"24,000",0.3,0.2,0.1,0.4,96.2,2.5,0.4,0.0
KOTULO,"9,342",0.7,0.2,0.3,0.5,95.3,2.7,0.3,-
LAFEY,"11,380",0.7,0.1,0.3,0.7,92.4,4.8,1.0,-
MANDERA CENTRAL,"20,795",3.0,0.4,0.3,0.4,91.0,4.3,0.5,0.1
MANDERA EAST,"25,206",4.6,0.3,0.9,0.3,55.0,38.2,0.5,-
MANDERA NORTH,"19,030",0.7,0.0,0.0,0.1,95.4,3.3,0.4,-
MARSABIT,"76,689",0.6,1.1,4.6,0.4,84.8,8.3,0.3,0.1
LOIYANGALANI,"7,646",0.0,-,0.8,0.2,93.1,5.6,0.3,-
MARSABIT CENTRAL,"15,658",1.2,3.9,16.4,0.9,63.7,12.9,0.9,0.0
MARSABIT NORTH,"7,468",0.0,0.0,0.6,0.1,98.4,0.8,0.1,-
